t[Ts]	C_l(t)	C_h(t)	N_l(t)	N_h(t)	E_l(t)	E_h(t)	A_LL(t)	A_HL(t)	A_HH(t)	A_L(t)	A_H(t)	A(t)
13799947.437359098	101.638	33.0837	0.777642	0.624438	0	0	0	0	0	0	0	0
13900060.43908104	101.807	32.9143	0.785313	0.626926	0	0	0	0	0	0	0	0
14000040.840800704	101.975	32.7466	0.792997	0.629402	0	0	0	0	0	0	0	0
14100021.242520366	102.141	32.5807	0.800694	0.631865	0	0	0	0	0	0	0	0
14200001.64424003	102.305	32.4164	0.808403	0.634316	0	0	0	0	0	0	0	0
14299982.045959692	102.468	32.2539	0.816125	0.636755	0	0	0	0	0	0	0	0
14399962.447679354	102.629	32.093	0.823858	0.639181	0	0	0	0	0	0	0	0
14499942.849399017	102.788	31.9338	0.831604	0.641596	0	0	0	0	0	0	0	0
14600055.85112096	102.945	31.7762	0.839362	0.643998	0	0	0	0	0	0	0	0
14700036.252840623	103.101	31.6202	0.847131	0.646388	0	0	0	0	0	0	0	0
14800016.654560288	103.256	31.4657	0.854912	0.648767	0	0	0	0	0	0	0	0
14899997.056279948	103.409	31.3128	0.862705	0.651134	0	0	0	0	0	0	0	0
14999977.457999611	103.56	31.1614	0.870509	0.65349	0	0	0	0	0	0	0	0
15099957.859719273	103.71	31.0115	0.878325	0.655834	0	0	0	0	0	0	0	0
15199938.261438936	103.858	30.8631	0.886152	0.658168	0	0	0	0	0	0	0	0
15300051.263160883	104.005	30.7161	0.89399	0.66049	0	0	0	0	0	0	0	0
15400031.664880546	104.151	30.5706	0.901839	0.662801	0	0	0	0	0	0	0	0
15500012.066600207	104.295	30.4264	0.909699	0.665101	0	0	0	0	0	0	0	0
15599992.46831987	104.438	30.2837	0.91757	0.66739	0	0	0	0	0	0	0	0
15699972.87003953	104.579	30.1423	0.925451	0.669668	0	0	0	0	0	0	0	0
15799953.271759199	104.719	30.0023	0.933343	0.671936	0	0	0	0	0	0	0	0
15900066.27348114	104.858	29.8636	0.941246	0.674194	0	0	0	0	0	0	0	0
16000046.675200801	104.995	29.7262	0.949159	0.67644	0	0	0	0	0	0	0	0
16100027.076920465	105.132	29.59	0.957082	0.678677	0	0	0	0	0	0	0	0
16200007.478640128	105.266	29.4552	0.965016	0.680904	0	0	0	0	0	0	0	0
16299987.880359793	105.4	29.3216	0.97296	0.68312	0	0	0	0	0	0	0	0
16399968.282079455	105.532	29.1893	0.980913	0.685326	0	0	0	0	0	0	0	0
16499948.683799118	105.663	29.0581	0.988877	0.687523	0	0	0	0	0	0	0	0
16600061.685521059	105.793	28.9282	0.99685	0.689709	0	0	0	0	0	0	0	0
16700042.087240722	105.922	28.7994	1.00483	0.691886	0	0	0	0	0	0	0	0
16800022.48896039	106.05	28.6718	1.01283	0.694053	0	0	0	0	0	0	0	0
16900002.89068005	106.176	28.5454	1.02083	0.69621	0	0	0	0	0	0	0	0
16999983.292399712	106.301	28.4201	1.02884	0.698358	0	0	0	0	0	0	0	0
17099963.694119375	106.426	28.2959	1.03686	0.700497	0	0	0	0	0	0	0	0
17199944.09583904	106.549	28.1729	1.04489	0.702626	0	0	0	0	0	0	0	0
17300057.097560983	106.671	28.0509	1.05293	0.704746	0	0	0	0	0	0	0	0
17400037.499280646	106.792	27.93	1.06098	0.706857	0	0	0	0	0	0	0	0
17500017.90100031	106.911	27.8101	1.06904	0.708959	0	0	0	0	0	0	0	0
17599998.302719973	107.03	27.6913	1.07711	0.711052	0	0	0	0	0	0	0	0
17699978.704439633	107.148	27.5736	1.08518	0.713136	0	0	0	0	0	0	0	0
17799959.106159296	107.265	27.4568	1.09327	0.715211	0	0	0	0	0	0	0	0
17899939.50787896	107.38	27.3411	1.10136	0.717277	0	0	0	0	0	0	0	0
18000052.509600904	107.495	27.2263	1.10946	0.719335	0	0	0	0	0	0	0	0
18100032.911320567	107.609	27.1126	1.11758	0.721384	0	0	0	0	0	0	0	0
18200013.313040227	107.722	26.9998	1.1257	0.723424	0	0	0	0	0	0	0	0
18299993.714759894	107.834	26.8879	1.13382	0.725456	0	0	0	0	0	0	0	0
18399974.116479553	107.945	26.777	1.14196	0.72748	0	0	0	0	0	0	0	0
18499954.518199217	108.054	26.6671	1.1501	0.729495	0	0	0	0	0	0	0	0
18599934.91991888	108.164	26.558	1.15826	0.731502	0	0	0	0	0	0	0	0
18700047.92164082	108.272	26.4499	1.16642	0.733501	0	0	0	0	0	0	0	0
18800028.323360488	108.379	26.3426	1.17459	0.735491	0	0	0	0	0	0	0	0
18900008.725080147	108.485	26.2362	1.18277	0.737474	0	0	0	0	0	0	0	0
18999989.126799814	108.591	26.1308	1.19095	0.739448	0	0	0	0	0	0	0	0
19099969.528519474	108.695	26.0261	1.19914	0.741415	0	0	0	0	0	0	0	0
19199949.93023914	108.799	25.9223	1.20735	0.743374	0	0	0	0	0	0	0	0
19300062.931961082	108.902	25.8194	1.21555	0.745325	0	0	0	0	0	0	0	0
19400043.33368074	109.004	25.7173	1.22377	0.747268	0	0	0	0	0	0	0	0
19500023.73540041	109.106	25.616	1.232	0.749204	0	0	0	0	0	0	0	0
19600004.13712007	109.206	25.5155	1.24023	0.751132	0	0	0	0	0	0	0	0
19699984.538839735	109.306	25.4159	1.24847	0.753052	0	0	0	0	0	0	0	0
19799964.940559395	109.405	25.317	1.25671	0.754965	0	0	0	0	0	0	0	0
19899945.34227906	109.503	25.2189	1.26497	0.756871	0	0	0	0	0	0	0	0
20000058.344001003	109.6	25.1216	1.27323	0.758769	0	0	0	0	0	0	0	0
20100038.745720666	109.697	25.025	1.2815	0.76066	0	0	0	0	0	0	0	0
20200019.147440333	109.792	24.9292	1.28978	0.762544	0	0	0	0	0	0	0	0
20299999.549159992	109.887	24.8341	1.29806	0.76442	0	0	0	0	0	0	0	0
20399979.950879656	109.982	24.7398	1.30635	0.76629	0	0	0	0	0	0	0	0
20499960.35259932	110.075	24.6462	1.31465	0.768152	0	0	0	0	0	0	0	0
20599940.75431898	110.168	24.5533	1.32295	0.770007	0	0	0	0	0	0	0	0
20700053.756040927	110.26	24.4612	1.33126	0.771855	0	0	0	0	0	0	0	0
20800034.157760587	110.352	24.3697	1.33958	0.773696	0	0	0	0	0	0	0	0
20900014.55948025	110.443	24.2789	1.34791	0.775531	0	0	0	0	0	0	0	0
20999994.961199913	110.533	24.1888	1.35624	0.777358	0	0	0	0	0	0	0	0
21099975.362919576	110.622	24.0994	1.36458	0.779179	0	0	0	0	0	0	0	0
21199955.76463924	110.711	24.0107	1.37293	0.780993	0	0	0	0	0	0	0	0
21299936.1663589	110.799	23.9226	1.38128	0.782801	0	0	0	0	0	0	0	0
21400049.168080844	110.886	23.8352	1.38964	0.784602	0	0	0	0	0	0	0	0
21500029.56980051	110.973	23.7485	1.398	0.786396	0	0	0	0	0	0	0	0
21600009.971520174	111.059	23.6623	1.40638	0.788184	0	0	0	0	0	0	0	0
21699990.373239838	111.145	23.5768	1.41475	0.789965	0	0	0	0	0	0	0	0
21799970.774959497	111.23	23.492	1.42314	0.79174	0	0	0	0	0	0	0	0
21899951.176679157	111.314	23.4077	1.43153	0.793508	0	0	0	0	0	0	0	0
22000064.178401105	111.397	23.3241	1.43993	0.79527	0	0	0	0	0	0	0	0
22100044.580120765	111.48	23.2411	1.44833	0.797026	0	0	0	0	0	0	0	0
22200024.98184043	111.563	23.1587	1.45674	0.798776	0	0	0	0	0	0	0	0
22300005.38356009	111.645	23.0768	1.46516	0.800519	0	0	0	0	0	0	0	0
22399985.785279755	111.726	22.9956	1.47358	0.802256	0	0	0	0	0	0	0	0
